date,county,state,fips,cases,deaths
3/23/2020,ARMENIA,QUINDIO,63001,1,0
3/23/2020,BOGOTA,BOGOTA,11001,29,2
3/23/2020,BUCARAMANGA,SANTANDER,68001,1,0
3/23/2020,CACERES,ANTIOQUIA,05120,1,0
3/23/2020,CAJICA,CUNDINAMARCA,25126,1,0
3/23/2020,CALI,VALLE,76001,3,1
3/23/2020,CARTAGENA,CARTAGENA,13001,1,0
3/23/2020,CHIA,CUNDINAMARCA,25175,1,0
3/23/2020,COTA,CUNDINAMARCA,25214,1,0
3/23/2020,DOSQUEBRADAS,RISARALDA,66170,1,0
3/23/2020,ENVIGADO,ANTIOQUIA,05266,2,0
3/23/2020,ITAGUI,ANTIOQUIA,05360,1,0
3/23/2020,MEDELLIN,ANTIOQUIA,05001,13,0
3/23/2020,NEIVA,HUILA,41001,1,1
3/23/2020,PACHO,CUNDINAMARCA,25513,1,0
3/23/2020,PALMIRA,VALLE,76520,2,0
3/23/2020,RETIRO,ANTIOQUIA,05607,1,0
3/23/2020,RIONEGRO,ANTIOQUIA,05615,1,0
3/23/2020,SABANETA,ANTIOQUIA,05631,2,0
3/23/2020,SANTA MARTA,STA MARTA D.E.,47001,1,0
3/23/2020,SOACHA,CUNDINAMARCA,25754,1,0
3/23/2020,TRUJILLO,VALLE,76828,1,0
3/23/2020,VILLAMARIA,CALDAS,17873,1,0
3/23/2020,VILLAVICENCIO,META,50001,4,0
3/24/2020,ANAPOIMA,CUNDINAMARCA,25035,1,0
3/24/2020,ARMENIA,QUINDIO,63001,1,0
3/24/2020,BARRANQUILLA,BARRANQUILLA,08001,2,0
3/24/2020,BOGOTA,BOGOTA,11001,41,2
3/24/2020,CALI,VALLE,76001,23,0
3/24/2020,CARTAGENA,CARTAGENA,13001,5,0
3/24/2020,CARTAGO,VALLE,76147,1,0
3/24/2020,CUCUTA,NORTE SANTANDER,54001,2,0
3/24/2020,DARIEN,VALLE,76126,1,0
3/24/2020,FUNZA,CUNDINAMARCA,25286,1,0
3/24/2020,FUSAGASUGA,CUNDINAMARCA,25290,1,0
3/24/2020,IBAGUE,TOLIMA,73001,4,0
3/24/2020,IPIALES,NARIÑO,52356,1,1
3/24/2020,LA CALERA,CUNDINAMARCA,25377,1,0
3/24/2020,LA UNION,VALLE,76400,1,0
3/24/2020,LOS PATIOS,NORTE SANTANDER,54405,1,0
3/24/2020,MANIZALES,CALDAS,17001,1,0
3/24/2020,MOSQUERA,CUNDINAMARCA,25473,1,0
3/24/2020,NEIVA,HUILA,41001,2,0
3/24/2020,PALERMO,HUILA,41524,1,0
3/24/2020,PEREIRA,RISARALDA,66001,3,1
3/24/2020,POPAYAN,CAUCA,19001,1,0
3/24/2020,SAN PEDRO,VALLE,76670,1,0
3/24/2020,TULUA,VALLE,76834,2,0
3/24/2020,VALLEDUPAR,CESAR,20001,1,0
3/24/2020,VILLAVICENCIO,META,50001,2,0
3/24/2020,VILLETA,CUNDINAMARCA,25875,2,0
3/24/2020,VITERBO,CALDAS,17877,1,0
3/25/2020,ARMENIA,QUINDIO,63001,4,0
3/25/2020,BARRANQUILLA,BARRANQUILLA,08001,3,0
3/25/2020,BELLO,ANTIOQUIA,05088,1,0
3/25/2020,BOGOTA,BOGOTA,11001,14,0
3/25/2020,CALI,VALLE,76001,1,0
3/25/2020,CARTAGENA,CARTAGENA,13001,5,0
3/25/2020,COTA,CUNDINAMARCA,25214,1,0
3/25/2020,CUCUTA,NORTE SANTANDER,54001,4,0
3/25/2020,EL DOVIO,VALLE,76250,1,0
3/25/2020,FRONTINO,ANTIOQUIA,05284,1,0
3/25/2020,IBAGUE,TOLIMA,73001,1,0
3/25/2020,LA DORADA,CALDAS,17380,1,0
3/25/2020,MADRID,CUNDINAMARCA,25430,1,0
3/25/2020,MANIZALES,CALDAS,17001,1,0
3/25/2020,MEDELLIN,ANTIOQUIA,05001,6,0
3/25/2020,PALMIRA,VALLE,76520,2,0
3/25/2020,PEREIRA,RISARALDA,66001,2,0
3/25/2020,POPAYAN,CAUCA,19001,6,0
3/25/2020,SANTA MARTA,STA MARTA D.E.,47001,1,0
3/25/2020,SANTANA,BOYACA,15686,1,0
3/25/2020,SOACHA,CUNDINAMARCA,25754,1,0
3/25/2020,SOLEDAD,ATLANTICO,08758,1,0
3/25/2020,TULUA,VALLE,76834,1,1
3/25/2020,VILLAVICENCIO,META,50001,1,0
3/26/2020,BOGOTA,BOGOTA,11001,7,1
3/26/2020,CALI,VALLE,76001,2,0
3/26/2020,TUNJA,BOYACA,15001,1,0
3/27/2020,ARMENIA,QUINDIO,63001,2,0
