"id" "rend"
"66594" 12
"66687" 8.7
"66383" 9.2
"66170" 10.03
"66400" 12.4
"66456" 12
"88001" 9.75
"68235" 3.5
"68615" 3.8
"68689" 9.39
"68385" 7
"68406" 12
"68255" 9.15
"68820" 3
"68271" 2.8
"68229" 7.01
"68547" 8
"68245" 5
"68745" 4
"68092" 15
"68872" 5
"68001" 9
"68444" 8
"68101" 10
"68079" 7
"68318" 5
"68705" 10
"68684" 6
"68679" 15
"68051" 6
"68669" 4
"68209" 8
"68320" 6
"68755" 10
"68498" 4
"68190" 1
"68370" 4.5
"68425" 15
"68686" 7
"68160" 4
"68266" 10
"68720" 7
"68327" 5
"68502" 4.5
"68207" 7
"68217" 5
"68432" 18
"70508" 7
"70204" 5
"70230" 18
"70221" 8
"73283" 5
"73443" 8.5
"73152" 8
"73026" 3.6
"73270" 8
"73520" 5
"73624" 10
"73347" 10.55
"73043" 6
"73411" 6
"73001" 10
"73504" 6
"73124" 2.5
"73408" 5.3
"73067" 3
"73675" 1
"73616" 8
"73870" 5.5
"73555" 8
"73861" 10
"73055" 15
"73168" 4
"73352" 5
"73854" 6
"73349" 15
"76736" 12
"76122" 12
"76863" 6
"76054" 10
"76520" 10
"76020" 7
"76828" 10
"76845" 8
"76233" 5
"76622" 10
"76606" 8.5
"76041" 7
"76246" 9.79
"76036" 10
"76100" 5
"76318" 10
"76616" 8
"76248" 5
"76890" 8.93
"76403" 10
"76892" 12
"76113" 10
"76243" 7
"76497" 9.46
"76126" 12
"76823" 9
"76869" 8
"76834" 8
"76400" 12
"76670" 9.2
"76147" 10
"76111" 8
"76250" 8
"76275" 9
"76364" 8
"76001" 5
"76563" 10
"05234" 12
"05842" 14
"08606" 10
"08078" 15
"08141" 5.44
"08137" 20
"08436" 8
"08770" 6.2
"08638" 5
"13549" 15
"13430" 15
"13468" 2
"13268" 12
"13647" 10
"13300" 12
"13006" 16
"15494" 10
"15720" 9
"15522" 18
"15332" 12
"15248" 15
"15299" 10
"15778" 7
"15322" 12
"15808" 5
"15114" 5
"17380" 15
"18205" 1.8
"85400" 12
"85001" 18
"85430" 4.5
"85300" 16.8
"19450" 3
"19845" 9.78
"19075" 10
"19532" 20
"19573" 6
"19513" 15
"19418" 4
"20787" 10
"20175" 10
"20295" 10
"20517" 10
"20750" 10
"20570" 10
"20770" 11
"20032" 10
"20550" 10
"20621" 10
"20060" 10
"20178" 8
"20400" 9
"20250" 9
"23001" 5.5
"23350" 15
"25815" 6.9
"25281" 9
"25368" 5.7
"25181" 13
"25599" 3
"25841" 5
"25436" 12
"25807" 10
"25426" 10
"25662" 12
"41396" 14
"41770" 12
"41026" 18
"41013" 20
"41298" 12
"41306" 15
"41551" 15
"41319" 14
"41001" 12
"41020" 10
"41006" 13
"41791" 13.5
"41359" 11
"41244" 9
"41548" 12
"41078" 12
"41530" 10
"44001" 3.5
"44650" 5
"44090" 5
"44430" 8
"44078" 4
"44855" 6
"44378" 5.6
"44110" 4
"44420" 6
"44098" 8
"44279" 6
"44874" 5
"44035" 5
"47245" 4
"47660" 9
"47703" 4
"47205" 4
"47541" 3
"47460" 12
"47745" 14
"47545" 14
"50689" 13
"50450" 10
"50577" 14
"50110" 12
"50270" 15
"50318" 1.5
"54261" 30
"54673" 12
"54051" 15
"63594" 18
"63401" 10
"88564" 9.43
"88001" 17.53
"68689" 50
"68406" 50
"68081" 9
"68615" 12
"68307" 20
"68092" 15
"68755" 20
"68298" 5
"68176" 30
"68235" 5
"68464" 3.5
"68444" 17
"68820" 15
"70110" 5
"73678" 8
"73443" 16.71
"73270" 8
"73854" 13
"73349" 6
"73148" 20
"73236" 6
"76606" 13
"76100" 25
"76250" 18
"76520" 30
"76126" 20
"76364" 15
"76622" 17
"76834" 16
"76863" 15
"76890" 8
"76892" 35
"76130" 12
"76895" 8
"05234" 12
"05842" 12
"08606" 12
"08141" 14
"08421" 16
"08137" 8
"08770" 6.2
"08675" 6
"08296" 4
"08549" 3
"08638" 5
"08433" 8
"13468" 2
"13549" 15
"13006" 12
"13268" 12
"13673" 10
"15332" 12
"15522" 20
"15248" 15
"15299" 10
"15778" 9
"15720" 9
"17380" 14
"18001" 4
"18205" 1.8
"85001" 18
"85430" 4.5
"19450" 4
"19845" 10.33
"19532" 20
"19075" 10
"19573" 6
"19513" 15
"19418" 4
"20787" 50
"20295" 10
"20517" 10
"20550" 4
"20178" 8
"20621" 10
"23079" 10
"23350" 10
"25281" 10
"25368" 5.3
"25815" 6
"25151" 10
"25181" 18
"25841" 5
"25426" 10
"25436" 12
"25823" 4
"25662" 15
"41396" 14
"41770" 14
"41319" 20
"41306" 15
"41551" 15
"41013" 18
"41298" 15
"41001" 13
"41548" 12
"41791" 16
"41006" 13
"41020" 10.5
"41244" 12
"41359" 12
"41524" 10
"41078" 12
"44001" 5
"44650" 5
"44430" 9
"44078" 4
"44035" 5
"44090" 5
"44855" 6
"44420" 6
"44098" 5
"44874" 5
"44279" 6
"47660" 9
"47745" 14
"47245" 4
"47205" 4
"47541" 6
"47545" 12
"47703" 4
"47798" 9
"47460" 10
"47707" 12
"50689" 13
"50577" 15
"50110" 12
"50251" 18
"50318" 1
"54261" 30
"54673" 12
"54051" 15
"63401" 9.83
"63001" 12
"63594" 18
"63272" 12
"68406" 50
"68615" 12
"68307" 20
"68081" 13
"68755" 20
"68298" 5
"68444" 14
"68464" 2.5
"68176" 30
"68820" 15
"73678" 12
"73443" 15
"73270" 7
"73854" 13
"73349" 7
"73148" 20
"76606" 13
"76233" 10
"76100" 25
"76377" 17.5
"76250" 16.71
"76126" 20
"76834" 15
"76364" 12
"76403" 17
"76622" 17
"76890" 8
"76892" 35
"76130" 12
"76869" 10
"99001" 7
"91540" 3
"05120" 24
"05854" 15
"05665" 12
"05501" 6
"05664" 8
"08606" 2
"08296" 4
"08078" 2
"08421" 15
"08549" 4
"08685" 3
"08372" 4
"08433" 10
"08436" 5
"08558" 1.6
"08849" 1.1
"08634" 20
"08638" 2
"08758" 4
"15531" 10
"18610" 2
"19418" 1.7
"19001" 3
"20787" 3
"20443" 3
"20310" 40
"20614" 3
"20013" 8
"27006" 7
"23555" 15
"23001" 6
"23675" 6
"23162" 3
"23686" 6
"94001" 1
"94343" 1
"44001" 5.5
"44855" 7
"44078" 5
"44098" 6
"44279" 6
"44430" 6
"44420" 7
"44650" 4
"44874" 5
"44035" 5
"47189" 3.5
"47288" 8
"47001" 6
"47745" 7
"47053" 4
"47268" 7
"47030" 6.7
"47258" 7
"47161" 1
"47605" 6.7
"47675" 2
"47980" 6.5
"47707" 4
"54498" 5
"54800" 2.1
"54245" 5
"88564" 0.41
"68179" 5
"76606" 40
"76823" 12
"76400" 12.5
"76892" 6
"76869" 20
"76622" 13
"76100" 28
"76233" 14
"76403" 45.5
"76563" 50
"76377" 3.5
"76670" 12
"76497" 37
"76318" 6
"76001" 4
"76895" 50
"76828" 33
"97001" 1
"99773" 5
"91540" 3
"05854" 15
"05501" 6
"05664" 8
"08558" 1.6
"15531" 10
"18610" 2
"19418" 1.7
"20621" 3
"20310" 30
"20443" 4
"20013" 8
"27006" 7
"23001" 4
"23586" 4.2
"23350" 10
"94001" 1
"94343" 1
"44001" 5
"44078" 5
"44855" 6
"44279" 8
"44430" 6
"44098" 6
"44650" 7
"44420" 6
"44874" 5
"44035" 5
"44090" 5
"47189" 3
"47001" 6.43
"47288" 8
"47258" 7
"47161" 1
"47268" 7
"47745" 6.5
"47675" 7
"47030" 6.5
"47605" 6.5
"52621" 3
"54498" 5
"54800" 2.1
"68179" 5
"13433" 7.33
"13654" 5.9
"13442" 12
"13244" 8
"13458" 7
"13683" 4
"13140" 6
"23300" 15
"23672" 22
"23815" 7
"70508" 2
"70001" 10
"70523" 1.7
"70400" 4
"13433" 7.3
"13458" 8.3
"13683" 2
"13001" 2
"70523" 1.5
"23464" 3
"23300" 12
"23672" 11.6
"23586" 4.8
"05001" 4
"15693" 2
"19743" 1.3
"25758" 12
"25322" 15
"25295" 17
"52356" 28
"52573" 15
"52560" 9
"54174" 6
"54125" 15
"68162" 6
"68318" 10
"05001" 4
"15693" 2
"19743" 9
"25322" 15
"25758" 11
"52356" 28
"52573" 12
"52560" 9
"54174" 6
"54125" 15
"54480" 15
"68162" 6
"68318" 7
"13212" 0.8
"27800" 1.4
"23001" 0.7
"47551" 1
"47555" 0.5
"73678" 0.3
"13212" 0.8
"13244" 0.8
"13654" 1
"27800" 1.4
"23182" 0.7
"23570" 0.33
"23660" 0.6
"23001" 0.7
"23670" 0.9
"23464" 0.5
"44035" 0.6
"47551" 1
"70508" 0.8
"70717" 0.6
"70235" 0.6
"70418" 0.7
"70742" 1.1
"70110" 0.8
"70523" 1.4
"70001" 0.6
"70221" 0.6
"70233" 0.2
"70204" 0.5
"70215" 0.5
"70230" 0.3
"73678" 0.6
"15753" 15
"19418" 4
"25645" 5
"25320" 8
"25797" 5
"52835" 1
"52250" 1.5
"52696" 1
"52390" 0.5
